date,home_team,away_team,home_goals,away_goals,is_neutral,is_intl,home_elo,away_elo
1908-02-15,Ireland,England,1,3,0,1,1348.3099961673374,1647.172917107691
1908-03-07,Scotland,Wales,2,1,0,1,1589.1774316923065,1415.339655032665
1908-03-14,Ireland,Scotland,0,5,0,1,1344.45602528595,1593.499521062796
1908-03-16,Wales,England,1,7,0,1,1411.0175656621755,1651.0268879890784
1908-04-04,Scotland,England,1,1,0,1,1598.3247119357304,1656.045025004462
1908-04-11,Wales,Ireland,0,1,0,1,1405.9994286467918,1339.6308344130157
1908-08-15,Uruguay,Argentina,2,2,0,1,1464.3804389722393,1535.6195610277607
1908-09-13,Argentina,Uruguay,2,1,0,1,1535.0090103106095,1464.9909896893905
1908-10-04,Argentina,Uruguay,0,1,0,1,1541.6857604182553,1458.3142395817447
1908-10-19,Denmark,France,9,0,1,1,1500.0,1500.0
1908-10-20,England,Sweden,12,1,0,1,1655.8228530979238,1500.0
1908-10-22,England,Netherlands,4,0,0,1,1660.5066163758418,1500.0
1908-10-22,Denmark,France,17,1,1,1,1510.0,1490.0
1908-10-23,Netherlands,Sweden,2,0,1,1,1495.4122519520902,1495.316236722082
1908-10-24,England,Denmark,2,0,0,1,1665.0943644237516,1519.4249887221547
1909-02-13,England,Ireland,4,0,0,1,1669.991021104068,1352.8603220113773
1909-03-01,Wales,Scotland,3,2,0,1,1392.7699410484302,1598.5468838422687
1909-03-15,Scotland,Ireland,5,0,0,1,1584.3413667868492,1350.704247996663
1909-03-15,England,Wales,2,0,0,1,1672.1470951187823,1406.9754581038496
1909-03-20,Ireland,Wales,2,3,0,1,1347.4351586960966,1404.1730102379152
1909-04-03,England,Scotland,2,0,0,1,1674.9495429847168,1587.6104560874157
1909-08-15,Argentina,Uruguay,2,1,0,1,1528.0250888047096,1471.9749111952904
1909-09-19,Uruguay,Argentina,2,2,0,1,1464.9358891232496,1535.0641108767504
1909-10-10,Argentina,Uruguay,3,1,0,1,1534.4854213606561,1465.5145786393439
1910-02-12,Ireland,England,1,1,0,1,1337.6290653442702,1681.1903944052024
1910-03-05,Scotland,Wales,1,0,0,1,1581.3696046669302,1413.9791035897415
1910-03-14,Wales,England,0,1,0,1,1409.529946965097,1674.3062403895542
1910-03-19,Ireland,Scotland,1,0,0,1,1344.5132193599184,1585.8187612915747
1910-04-02,Scotland,England,2,0,0,1,1570.8089017797704,1678.8076735590541
1910-04-11,Wales,Ireland,4,1,0,1,1405.028513795597,1359.5230788717226
1910-05-29,Uruguay,Chile,3,0,1,1,1458.8109902089427,1500.0
1910-06-05,Argentina,Chile,5,1,0,1,1541.1890097910573,1488.8200078780483
1910-06-12,Argentina,Uruguay,4,1,0,1,1548.324995896065,1469.9909823308944
1910-08-15,Uruguay,Argentina,3,1,0,1,1463.5254312879129,1554.7905469390466
1910-11-13,Argentina,Uruguay,1,1,0,1,1543.6083948703758,1474.7075833565837
1910-11-27,Argentina,Uruguay,2,6,0,1,1540.3137800520462,1478.0021981749132
1911-01-28,Ireland,Wales,1,2,0,1,1352.2047395581426,1412.3468531091771
1911-02-11,England,Ireland,2,1,0,1,1667.1536702436756,1342.4965701632648
1911-03-06,Wales,Scotland,2,2,0,1,1422.055022504055,1582.462905095149
1911-03-13,England,Wales,3,0,0,1,1669.22780674684,1425.129999431658
1911-03-18,Scotland,Ireland,2,0,0,1,1579.3879281675459,1340.4224336601003
1911-04-01,England,Scotland,1,1,0,1,1672.3355380518572,1582.5739993113555
1911-08-15,Argentina,Uruguay,0,2,0,1,1527.1892751288285,1491.126703098131
1911-09-17,Uruguay,Argentina,2,3,0,1,1503.5543324645232,1514.7616457624363
1911-10-08,Uruguay,Argentina,1,1,0,1,1492.4424060325996,1525.87357219436
1911-10-22,Argentina,Uruguay,2,0,0,1,1526.3501003760234,1491.965877850936
1911-10-29,Uruguay,Argentina,3,0,0,1,1484.3479943203515,1533.967983906608
1912-02-10,Ireland,England,1,6,0,1,1337.2363625162907,1668.5166759852918
1912-03-02,Scotland,Wales,1,0,0,1,1586.3928613779208,1422.022268126641
1912-03-11,Wales,England,0,2,0,1,1417.5126831859684,1671.8230367588624
1912-03-16,Ireland,Scotland,1,4,0,1,1333.9300017427202,1590.9024463185933
1912-03-23,Scotland,England,1,1,0,1,1595.5625148865995,1676.5381019924212
1912-04-13,Wales,Ireland,2,3,0,1,1412.7976179524096,1329.269933174714
