club_id,club,league_id,league,season,wins,draws,losses,pts,avg_xG,total_goals,total_goals_cond
138,Sevilla,4,La liga,2016,21,9,8,72,1.5551269736842106,69,49
139,Deportivo La Coruna,4,La liga,2016,8,12,18,36,1.0788250552631578,43,61
140,Real Sociedad,4,La liga,2016,19,7,12,64,1.1995696131578948,59,53
141,Espanyol,4,La liga,2016,15,11,12,56,0.8566630631578946,49,50
143,Atletico Madrid,4,La liga,2016,23,9,6,78,1.5962868421052632,70,27
144,Las Palmas,4,La liga,2016,10,9,19,39,1.073603,53,74
146,Valencia,4,La liga,2016,13,7,18,46,1.324725605263158,56,65
147,Athletic Club,4,La liga,2016,19,6,13,63,1.3442438421052632,53,43
148,Barcelona,4,La liga,2016,28,6,4,90,2.4618840526315786,116,37
149,Sporting Gijon,4,La liga,2016,7,10,21,31,0.9567052105263159,42,72
150,Real Madrid,4,La liga,2016,29,6,3,93,2.391221315789474,106,41
152,Celta Vigo,4,La liga,2016,13,6,19,45,1.0652829736842104,53,69
153,Real Betis,4,La liga,2016,10,9,19,39,0.9398790789473683,41,64
154,Villarreal,4,La liga,2016,19,10,9,67,1.374440447368421,56,33
155,Granada,4,La liga,2016,4,8,26,20,0.7812135315789474,30,82
156,Eibar,4,La liga,2016,15,9,14,54,1.1310617894736843,56,51
157,Osasuna,4,La liga,2016,4,10,24,22,0.8718317368421054,40,94
158,Alaves,4,La liga,2016,14,13,11,55,1.1210817236842106,41,43
159,Leganes,4,La liga,2016,8,11,19,35,0.8734103236842106,36,55
160,Lille,5,Ligue 1,2016,13,7,18,46,1.1601052368421052,40,47
161,Paris Saint Germain,5,Ligue 1,2016,27,6,5,87,2.1621683947368417,83,27
162,SC Bastia,5,Ligue 1,2016,8,10,19,34,0.8720441243243242,29,54
163,Rennes,5,Ligue 1,2016,12,14,12,50,1.1001462368421053,36,42
164,Marseille,5,Ligue 1,2016,17,11,10,62,1.416534552631579,57,41
165,Caen,5,Ligue 1,2016,10,7,21,37,1.1915527184210526,36,65
166,Montpellier,5,Ligue 1,2016,10,9,19,39,1.1631364736842105,48,66
167,Angers,5,Ligue 1,2016,13,7,18,46,1.2156418157894737,40,49
168,Nantes,5,Ligue 1,2016,14,9,15,51,1.1311998157894738,40,54
169,Guingamp,5,Ligue 1,2016,14,8,16,50,1.2404997447368422,46,53
170,Nice,5,Ligue 1,2016,22,12,4,78,1.3562312105263157,63,36
171,Monaco,5,Ligue 1,2016,30,5,3,95,2.000973157894737,107,31
174,Toulouse,5,Ligue 1,2016,10,14,14,44,1.083881552631579,37,41
175,Saint-Etienne,5,Ligue 1,2016,12,14,12,50,1.12938,41,42
176,Bordeaux,5,Ligue 1,2016,15,14,9,59,1.3689906315789475,53,43
178,Lyon,5,Ligue 1,2016,20,4,13,64,1.922413135135135,77,48
179,Lorient,5,Ligue 1,2016,10,6,22,36,1.169901052631579,44,70
180,Metz,5,Ligue 1,2016,11,10,17,43,0.9146218684210526,39,72
181,Dijon,5,Ligue 1,2016,8,13,17,37,1.0155353684210526,46,58
182,Nancy,5,Ligue 1,2016,9,8,21,35,0.8572906657894738,29,52
183,Spartak Moscow,6,RFPL,2016,22,3,5,69,1.1891912333333332,46,27
184,FC Ufa,6,RFPL,2016,12,7,11,43,0.76165865,22,25
185,CSKA Moscow,6,RFPL,2016,18,8,4,62,1.2355192,47,15
186,Rubin Kazan,6,RFPL,2016,10,8,12,38,1.0533395,30,34
187,FC Rostov,6,RFPL,2016,13,9,8,48,0.8402290666666666,36,18
188,FK Akhmat,6,RFPL,2016,14,6,10,48,1.0108343533333335,38,35
189,Zenit St. Petersburg,6,RFPL,2016,18,7,5,61,1.5039662,50,19
192,Lokomotiv Moscow,6,RFPL,2016,10,12,8,42,1.1403132666666667,39,27
193,Anzhi Makhachkala,6,RFPL,2016,7,9,14,30,0.8121570333333333,24,38
194,Krylya Sovetov Samara,6,RFPL,2016,6,10,14,28,1.1346027666666667,31,39
195,Amkar,6,RFPL,2016,8,11,11,35,0.6656873266666667,25,29
196,FC Krasnodar,6,RFPL,2016,12,13,5,49,1.0442057666666666,40,22
198,Ural,6,RFPL,2016,8,6,16,30,0.6422859933333334,24,44
199,FC Orenburg,6,RFPL,2016,7,9,14,30,0.8203849000000001,25,36
200,Arsenal Tula,6,RFPL,2016,7,7,16,28,0.7048462333333333,18,40
201,Tom Tomsk,6,RFPL,2016,3,5,22,14,0.5021497133333334,17,64
